time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-05T22:29:03.630Z,35.6201667,-117.5843333,7.99,1.79,ml,28,66,0.105,0.17,ci,ci38455607,2019-07-05T22:40:18.670Z,"8km E of Ridgecrest, CA",earthquake,0.24,0.94,0.174,26,automatic,ci,ci
2019-07-05T22:28:02.500Z,35.7086667,-117.479,3.92,1.67,ml,27,64,0.1227,0.15,ci,ci38455599,2019-07-05T22:39:16.110Z,"9km SW of Searles Valley, CA",earthquake,0.25,0.77,0.149,27,automatic,ci,ci
2019-07-05T22:17:22.960Z,35.663166,-117.5309982,4.81,1.56,ml,23,75,0.1616,0.18,ci,ci38455527,2019-07-05T22:21:16.349Z,"14km ENE of Ridgecrest, CA",earthquake,0.34,1.14,0.255,9,automatic,ci,ci
2019-07-05T22:14:55.740Z,35.6441667,-117.593,5.89,2.1,ml,25,72,0.1211,0.18,ci,ci38455519,2019-07-05T22:27:04.650Z,"8km ENE of Ridgecrest, CA",earthquake,0.25,1.17,0.133,28,automatic,ci,ci
2019-07-05T22:14:44.330Z,35.7638333,-117.5731667,7.89,1.87,ml,24,83,0.05545,0.16,ci,ci38455511,2019-07-05T22:27:02.140Z,"15km W of Searles Valley, CA",earthquake,0.28,0.75,0.339,23,automatic,ci,ci
2019-07-05T22:10:22.690Z,35.7351667,-117.5451667,4.51,2.57,ml,28,91,0.09097,0.17,ci,ci38455487,2019-07-05T22:14:14.276Z,"13km WSW of Searles Valley, CA",earthquake,0.26,0.7,0.15,25,automatic,ci,ci
2019-07-05T22:10:02.980Z,35.5713333,-117.6065,7.04,1.67,ml,28,57,0.1104,0.16,ci,ci38455479,2019-07-05T22:20:55.350Z,"8km SE of Ridgecrest, CA",earthquake,0.22,0.69,0.155,25,automatic,ci,ci
2019-07-05T22:09:58.016Z,-21.8453,-174.5586,10,4.9,mb,,68,8.062,0.62,us,us70004bgv,2019-07-05T22:38:15.040Z,"69km SE of `Ohonua, Tonga",earthquake,11.8,1.9,0.037,230,reviewed,us,us
2019-07-05T22:09:21.060Z,35.7265,-117.5558333,1.95,1.95,ml,22,76,0.09528,0.22,ci,ci38455471,2019-07-05T22:20:23.120Z,"14km WSW of Searles Valley, CA",earthquake,0.3,0.6,0.121,26,automatic,ci,ci
2019-07-05T22:07:28.340Z,35.6841667,-117.4998333,6.8,2.8,ml,32,62,0.1022,0.14,ci,ci38455463,2019-07-05T22:18:20.330Z,"13km SW of Searles Valley, CA",earthquake,0.24,0.8,0.146,25,automatic,ci,ci
2019-07-05T22:06:08.980Z,35.6925,-117.4895,11.95,1.7,ml,20,106,0.1081,0.23,ci,ci38455455,2019-07-05T22:09:54.754Z,"11km SW of Searles Valley, CA",earthquake,0.49,1.2,0.136,11,automatic,ci,ci
